SampleId_1404,Region_1404,Group_1404,OriginalSampleName_1404,SampleId_1394,Region_1394,Group_1394,OriginalSampleName_1394,Distance,SameRegion
18,اراک,G4,04-14,1,سمنان,G1,94-1,662.2592305146065,False
18,اراک,G4,04-14,2,سمنان,G1,94-2,809.5775726422978,False
18,اراک,G4,04-14,4,اصفهان,G2,94-5,867.7396390039443,False
18,اراک,G4,04-14,9,زنجان,G3,94-7,972.4476550471867,False
18,اراک,G4,04-14,10,زنجان,G3,94-8,1390.499026657631,False
18,اراک,G4,04-14,13,اراک,G4,94-9,905.4678864436279,True
18,اراک,G4,04-14,20,خراسان شمالی,G5,94-13,2032.3895970683461,False
18,اراک,G4,04-14,24,خراسان رضوی,G6,94-21,1427.624827944084,False
18,اراک,G4,04-14,25,خراسان رضوی,G6,94-22,907.7945794618196,False
18,اراک,G4,04-14,26,خراسان رضوی,G6,94-25,1386.2219746259802,False
18,اراک,G4,04-14,27,خراسان رضوی,G6,94-26,688.1436882650096,False
18,اراک,G4,04-14,28,خراسان رضوی,G6,94-27,1570.3510747085286,False
18,اراک,G4,04-14,29,خراسان رضوی,G6,94-28,793.4011237497486,False
18,اراک,G4,04-14,34,فارس,G7,94-30,1413.9619789404348,False
18,اراک,G4,04-14,36,فارس,G7,94-32,916.0886013487933,False
18,اراک,G4,04-14,37,قم,G8,94-33,918.830355710919,False
18,اراک,G4,04-14,39,یزد,G9,94-35,1151.2488366506832,False
18,اراک,G4,04-14,40,یزد,G9,94-36,942.0035925668703,False
19,اراک,G4,04-15,1,سمنان,G1,94-1,909.0367472086147,False
19,اراک,G4,04-15,2,سمنان,G1,94-2,947.4879606445543,False
19,اراک,G4,04-15,4,اصفهان,G2,94-5,811.3025857858912,False
19,اراک,G4,04-15,9,زنجان,G3,94-7,1172.8224173680069,False
19,اراک,G4,04-15,10,زنجان,G3,94-8,1567.7991666202263,False
19,اراک,G4,04-15,13,اراک,G4,94-9,1066.0023632494615,True
19,اراک,G4,04-15,20,خراسان شمالی,G5,94-13,1922.4185669146195,False
19,اراک,G4,04-15,24,خراسان رضوی,G6,94-21,1299.3934914715537,False
19,اراک,G4,04-15,25,خراسان رضوی,G6,94-22,1063.051198302093,False
19,اراک,G4,04-15,26,خراسان رضوی,G6,94-25,1429.2482495284582,False
19,اراک,G4,04-15,27,خراسان رضوی,G6,94-26,676.8649192481985,False
19,اراک,G4,04-15,28,خراسان رضوی,G6,94-27,1461.4243079745938,False
19,اراک,G4,04-15,29,خراسان رضوی,G6,94-28,723.6515047223965,False
19,اراک,G4,04-15,34,فارس,G7,94-30,1324.2632957977337,False
