ppm,reference_mean,target_mean,mean_difference,standardized_effect,absolute_effect
6.42795,2.2342464529744728,-0.27121612652581917,-2.505462579500292,-11.443945129090366,11.443945129090366
5.60796,1.34335986573562,-0.3702701872861391,-1.7136300530217592,-11.27380004087475,11.27380004087475
6.28595,1.456750599645614,-0.29793611116526114,-1.7546867108108752,-11.258098914668516,11.258098914668516
5.63996,0.25754964996302576,-0.36433852682441753,-0.6218881767874433,-11.250976189831622,11.250976189831622
6.28495,1.4094773619006171,-0.30293033597176994,-1.712407697872387,-11.248042136324283,11.248042136324283
6.27796,1.3390082777673884,-0.31514420172719076,-1.6541524794945792,-11.242731618518766,11.242731618518766
5.64196,0.23294272492730922,-0.36363039129185076,-0.59657311621916,-11.096286203469123,11.096286203469123
5.53196,2.422525534460579,-0.3687023081462588,-2.7912278426068378,-11.077664001766763,11.077664001766763
6.29395,1.7326545951554175,-0.25914256892578724,-1.9917971640812047,-11.068420362335655,11.068420362335655
5.57196,3.2973431231559154,-0.36578539501111423,-3.6631285181670297,-10.982380290052424,10.982380290052424
5.52896,2.209628721171461,-0.3725863729912939,-2.582215094162755,-10.887003271302712,10.887003271302712
6.29195,1.585955747523983,-0.27079457820285574,-1.8567503257268387,-10.88566415534427,10.88566415534427
5.52696,2.0418933521261855,-0.37626744743685264,-2.4181607995630383,-10.88399443971314,10.88399443971314
6.28795,1.4396281727039262,-0.286585454456927,-1.7262136271608532,-10.875317184036238,10.875317184036238
6.28695,1.4279838839246928,-0.2875392731809453,-1.715523157105638,-10.866255597675117,10.866255597675117
6.28895,1.5002121702344735,-0.27520028250205303,-1.7754124527365265,-10.858966834291541,10.858966834291541
6.35495,3.511734592040788,-0.20634496426658588,-3.718079556307374,-10.813708135022258,10.813708135022258
6.29295,1.6516186704357532,-0.2707040278863985,-1.9223226983221517,-10.811293820718305,10.811293820718305
5.53096,2.353946557588711,-0.3560513263301057,-2.709997883918817,-10.727749141152803,10.727749141152803
5.62196,0.7898491914749992,-0.3750664994032435,-1.1649156908782428,-10.703050112336383,10.703050112336383
6.35395,3.561128449560642,-0.19602859762495914,-3.757157047185601,-10.65944955970754,10.65944955970754
6.27496,1.2355056657717074,-0.3171534330639692,-1.5526590988356765,-10.631560314405574,10.631560314405574
8.39194,0.5903893128454585,-0.3325088505065319,-0.9228981633519904,-10.60388452801624,10.60388452801624
5.57296,3.221033538704172,-0.3633387250654734,-3.5843722637696454,-10.532765883456845,10.532765883456845
6.35195,3.574177031048902,-0.19279391782558053,-3.7669709488744823,-10.4931045202711,10.4931045202711
5.52596,1.9600445148904329,-0.3638976484024212,-2.323942163292854,-10.485666857408003,10.485666857408003
5.52496,1.9259602845870727,-0.3651408762273207,-2.291101160814393,-10.47172939115483,10.47172939115483
6.35095,3.504717321210177,-0.18529729182140542,-3.6900146130315825,-10.459208172686075,10.459208172686075
