Model,PLSComponents,Preprocessing,PreprocessingCode,Modality,Split,Repeat,Fold,Accuracy,BalancedAccuracy,MacroF1
PLS-DA,4,SNV,snv,250 nm,11,6,1,0.35,0.2196969696969697,0.14646464646464644
PLS-DA,4,SNV,snv,250 nm,12,6,2,0.3,0.15833333333333333,0.12878787878787878
PLS-DA,4,SNV,snv,250 nm,13,7,1,0.2,0.11363636363636363,0.05909090909090909
PLS-DA,4,SNV,snv,250 nm,14,7,2,0.2,0.1,0.08051948051948052
PLS-DA,4,SNV,snv,250 nm,15,8,1,0.14285714285714285,0.1515151515151515,0.07676767676767676
PLS-DA,4,SNV,snv,250 nm,16,8,2,0.21052631578947367,0.125,0.09090909090909091
PLS-DA,4,SNV,snv,250 nm,17,9,1,0.19047619047619047,0.18181818181818182,0.15540015540015542
PLS-DA,4,SNV,snv,250 nm,18,9,2,0.21052631578947367,0.13333333333333333,0.10389610389610389
PLS-DA,4,SNV,snv,250 nm,19,10,1,0.2857142857142857,0.1590909090909091,0.10984848484848485
PLS-DA,4,SNV,snv,250 nm,20,10,2,0.3684210526315789,0.2,0.1471861471861472
PLS-DA,4,SNV,snv,250 nm,21,11,1,0.35,0.2121212121212121,0.13737373737373737
PLS-DA,4,SNV,snv,250 nm,22,11,2,0.35,0.18333333333333332,0.13333333333333333
PLS-DA,4,SNV,snv,250 nm,23,12,1,0.23809523809523808,0.11363636363636363,0.07832167832167833
PLS-DA,4,SNV,snv,250 nm,24,12,2,0.2631578947368421,0.14166666666666666,0.08585858585858586
PLS-DA,4,SNV,snv,250 nm,25,13,1,0.3,0.20454545454545456,0.12101534828807554
PLS-DA,4,SNV,snv,250 nm,26,13,2,0.25,0.13333333333333333,0.1264069264069264
PLS-DA,4,SNV,snv,250 nm,27,14,1,0.2857142857142857,0.17424242424242423,0.10615243342516069
PLS-DA,4,SNV,snv,250 nm,28,14,2,0.21052631578947367,0.125,0.11717171717171716
PLS-DA,4,SNV,snv,250 nm,29,15,1,0.19047619047619047,0.09848484848484848,0.054812834224598934
PLS-DA,4,SNV,snv,250 nm,30,15,2,0.2631578947368421,0.15,0.11313131313131314
PLS-DA,4,SNV,snv,250 nm,31,16,1,0.19047619047619047,0.10606060606060605,0.09940059940059941
PLS-DA,4,SNV,snv,250 nm,32,16,2,0.21052631578947367,0.125,0.07847707847707848
PLS-DA,4,SNV,snv,250 nm,33,17,1,0.25,0.14393939393939392,0.1103896103896104
PLS-DA,4,SNV,snv,250 nm,34,17,2,0.3,0.225,0.12376068376068376
PLS-DA,4,SNV,snv,250 nm,35,18,1,0.3,0.17424242424242423,0.132034632034632
PLS-DA,4,SNV,snv,250 nm,36,18,2,0.3,0.15833333333333333,0.11229174865538502
PLS-DA,4,SNV,snv,250 nm,37,19,1,0.3,0.17424242424242423,0.11572871572871572
PLS-DA,4,SNV,snv,250 nm,38,19,2,0.35,0.175,0.1109625668449198
PLS-DA,4,SNV,snv,250 nm,39,20,1,0.1,0.053030303030303025,0.045454545454545456
PLS-DA,4,SNV,snv,250 nm,40,20,2,0.25,0.13333333333333333,0.1201298701298701
PLS-DA,4,SNV,snv,308 nm,1,1,1,0.35,0.3181818181818182,0.2313131313131313
PLS-DA,4,SNV,snv,308 nm,2,1,2,0.2,0.175,0.09615384615384616
PLS-DA,4,SNV,snv,308 nm,3,2,1,0.23809523809523808,0.13636363636363635,0.10372960372960373
PLS-DA,4,SNV,snv,308 nm,4,2,2,0.21052631578947367,0.1,0.07272727272727272
PLS-DA,4,SNV,snv,308 nm,5,3,1,0.25,0.20454545454545456,0.16666666666666666
PLS-DA,4,SNV,snv,308 nm,6,3,2,0.15,0.075,0.060606060606060615
PLS-DA,4,SNV,snv,308 nm,7,4,1,0.3,0.2424242424242424,0.197979797979798
PLS-DA,4,SNV,snv,308 nm,8,4,2,0.3,0.225,0.14502164502164502
PLS-DA,4,SNV,snv,308 nm,9,5,1,0.35,0.26515151515151514,0.17548209366391185
PLS-DA,4,SNV,snv,308 nm,10,5,2,0.25,0.125,0.09090909090909091
