SampleId,ActualClass,Modality,Year,OwnGroupSimilarity,NearestOtherGroup,NearestOtherSimilarity,SimilarityGap,OwnGroupWin,GroupSize
43,G11,440 nm,1404,0.999478855754175,G6,0.9643689420461684,0.035109913708006646,True,2
44,G11,440 nm,1404,0.9994788557541749,G6,0.9715830897191443,0.027895766035030634,True,2
9,G3,Combined,1394,0.9750387623279181,G6,0.7521104587813022,0.22292830354661586,True,2
10,G3,Combined,1394,0.9750387623279186,G7,0.7500208626723978,0.22501789965552088,True,2
24,G6,Combined,1394,0.8114614864486327,G3,0.8195100642390076,-0.008048577790374933,False,4
26,G6,Combined,1394,0.7714652625939059,G7,0.6328201790330322,0.13864508356087368,True,4
27,G6,Combined,1394,0.901154039942782,G7,0.6509558239001283,0.2501982160426537,True,4
28,G6,Combined,1394,0.9349579347675062,G3,0.7048213915797844,0.2301365431877218,True,4
34,G7,Combined,1394,0.9770537399927152,G6,0.7348802728035049,0.2421734671892103,True,2
36,G7,Combined,1394,0.9770537399927148,G9,0.8560024065209489,0.12105133347176589,True,2
39,G9,Combined,1394,0.9969371765413603,G7,0.798972294473777,0.19796488206758323,True,2
40,G9,Combined,1394,0.9969371765413603,G7,0.8177080285291835,0.17922914801217682,True,2
5,G2,Combined,1404,0.9733392111310339,G10,0.9749408681976606,-0.0016016570666266272,False,4
6,G2,Combined,1404,0.9475286916795197,G11,0.951678770652844,-0.0041500789733243115,False,4
7,G2,Combined,1404,0.9755070067192995,G10,0.9422758167243797,0.03323118999491981,True,4
8,G2,Combined,1404,0.969413156959679,G10,0.9247762654932244,0.044636891466454554,True,4
11,G3,Combined,1404,0.8614630467999352,G4,0.9477559976180324,-0.08629295081809718,False,2
12,G3,Combined,1404,0.8614630467999348,G6,0.7967580431420236,0.06470500365791121,True,2
14,G4,Combined,1404,0.9250684654237503,G10,0.8002978295236636,0.12477063590008675,True,6
15,G4,Combined,1404,0.9034470238127242,G5,0.7708562722961939,0.13259075151653033,True,6
16,G4,Combined,1404,0.9280442835654638,G10,0.7994213607765784,0.12862292278888532,True,6
17,G4,Combined,1404,0.8031868176509277,G3,0.8955202231824054,-0.09233340553147773,False,6
18,G4,Combined,1404,0.7071405754305411,G6,0.8191613662883529,-0.1120207908578118,False,6
19,G4,Combined,1404,0.9327335022663217,G10,0.9077405455755833,0.02499295669073842,True,6
21,G5,Combined,1404,0.7124609844238528,G4,0.4806563255872759,0.23180465883657686,True,3
22,G5,Combined,1404,0.8862520710068512,G4,0.9301126631024428,-0.043860592095591566,False,3
23,G5,Combined,1404,0.7839708069831711,G11,0.971108303196683,-0.18713749621351183,False,3
30,G6,Combined,1404,0.9863275987812912,G11,0.9181323702418546,0.0681952285394366,True,4
31,G6,Combined,1404,0.8288072632626675,G4,0.9390850849576123,-0.11027782169494482,False,4
32,G6,Combined,1404,0.9410127028098868,G11,0.892616650627279,0.048396052182607785,True,4
33,G6,Combined,1404,0.9585281455484327,G3,0.9028553388345993,0.055672806713833345,True,4
41,G10,Combined,1404,0.9901098711157937,G2,0.9374163004323428,0.05269357068345093,True,2
42,G10,Combined,1404,0.9901098711157936,G2,0.9548961121915142,0.03521375892427947,True,2
43,G11,Combined,1404,0.9961043699970112,G2,0.9412284234526351,0.05487594654437611,True,2
44,G11,Combined,1404,0.9961043699970114,G2,0.9673056223051302,0.028798747691881177,True,2
