Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ConfusionRate,WithinActualRate,UniqueSamplesAffected,IsError
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G9,1,0.00125,0.00625,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G7,G1,1,0.00125,0.025,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G8,G7,1,0.00125,0.025,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G9,G4,1,0.00125,0.025,1,True
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G4,G4,81,0.10125,0.5785714285714286,6,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G6,76,0.095,0.475,7,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G2,52,0.065,0.52,4,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G9,G9,37,0.04625,0.925,2,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G11,2,0.0025,0.05,1,False
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G3,1,0.00125,0.0125,1,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G6,47,0.05875,0.5875,4,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G6,29,0.03625,0.3625,3,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G2,28,0.035,0.7,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G6,27,0.03375,0.675,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G4,25,0.03125,0.3125,3,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G6,23,0.02875,0.23,5,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G2,23,0.02875,0.14375,4,True
