SampleId,ActualClass,Year,Normalization,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
13,G4,1394,Raw,250 nm,1522860.405657368,352850.1537416183,-59322.87335179746,98661.52301576843,118651.83216792253,-40624.785907198115,36653.65689372865,98955.42512919333,84614.83959253828,23334.000190726856
14,G4,1404,Raw,250 nm,-861795.5718187791,35974.085670092594,14729.49526713291,-7401.942654129682,-8253.145882569097,-2736.7902386042524,-2289.5864571021,1249.0605368916129,630.3916751093681,1175.8370779867296
15,G4,1404,Raw,250 nm,-861795.5686386034,35974.08516684232,14729.490952634096,-7401.934733182261,-8253.149188182839,-2736.797790291824,-2289.580445043747,1249.062472372162,630.3971146453371,1175.8476124309295
16,G4,1404,Raw,250 nm,-861795.5737031439,35974.08711298058,14729.49547098758,-7401.94520288056,-8253.14943028537,-2736.798800972006,-2289.590225425468,1249.039516777293,630.3880763740285,1175.8323686651866
17,G4,1404,Raw,250 nm,-861795.5645959402,35974.098736515705,14729.4865978905,-7401.963435886089,-8253.12376189655,-2736.805874986806,-2289.582869163025,1249.099381977492,630.395334108321,1175.832227045215
18,G4,1404,Raw,250 nm,-861795.5800739877,35974.08347349263,14729.50154429086,-7401.929725360261,-8253.145712948088,-2736.7947730824935,-2289.579228484619,1249.0447160574095,630.3810485282531,1175.819413770945
19,G4,1404,Raw,250 nm,-861795.5724290594,35974.09529005846,14729.495180776938,-7401.946748572745,-8253.134168745893,-2736.8069353536744,-2289.5799906114053,1249.0826732184896,630.3921390120383,1175.8363942822318
20,G5,1394,Raw,250 nm,564055.5126255252,-102433.73659047116,-31644.489836374683,145636.52346406208,312029.1177762521,-52598.00202492961,2565.772256109051,-44476.128285793406,-12585.627375667758,-82183.00505704345
21,G5,1404,Raw,250 nm,-861795.53578167,35974.075542431674,14729.49923478425,-7401.859454105197,-8253.22456664491,-2736.8491671547235,-2289.435133424034,1248.9763759488567,630.3984933901472,1175.8760947698922
22,G5,1404,Raw,250 nm,-861795.5717878331,35974.09149632973,14729.496039606136,-7401.941124609523,-8253.13415014256,-2736.7931951835303,-2289.580649404484,1249.0937791487281,630.3868734885258,1175.8289925978936
23,G5,1404,Raw,250 nm,-861795.5949589341,35974.090606011705,14729.513422508318,-7401.942466896822,-8253.155906669703,-2736.8171253469873,-2289.6048745360554,1248.972698744675,630.3715898641308,1175.8153765735
24,G6,1394,Raw,250 nm,1841346.9914512015,816471.0744554054,-116842.64071278076,-212849.27838474963,-13075.046795791459,107085.6672198658,108074.83895701043,14638.249864701742,-27481.836478145065,5948.441211004437
26,G6,1394,Raw,250 nm,367435.2080672507,-1090815.819083057,-544757.6554215484,94692.41575344813,-4627.894769215506,133862.7094315557,-64799.3896781677,-17086.037900011488,31954.42598061423,11805.34337322799
27,G6,1394,Raw,250 nm,1789629.3093982537,-951363.6899328645,45108.64428663093,-112408.94615772352,40198.33303365297,-40206.57992409118,9097.242056969508,49702.80862544887,-56282.673531778906,-10067.173322313618
28,G6,1394,Raw,250 nm,608763.0280034384,-457597.5920068384,-40841.41534353631,-73800.58627434706,76373.46534653123,5183.550414005771,46489.46391366658,-18185.546466610678,-40738.16677899347,477.53952118967584
30,G6,1404,Raw,250 nm,-861795.5842012228,35974.08514943219,14729.505753822086,-7401.908487586815,-8253.134523811545,-2736.7936170787666,-2289.578854924647,1249.0954258111194,630.4144359241855,1175.8347793439748
31,G6,1404,Raw,250 nm,-861795.5754580804,35974.094291727524,14729.501123448621,-7401.953530549833,-8253.14334612443,-2736.8041196499344,-2289.5896771617445,1249.0540699810601,630.3786216955367,1175.8251846293142
32,G6,1404,Raw,250 nm,-861795.5815812136,35974.086824670754,14729.50140707547,-7401.914724119536,-8253.132695693423,-2736.800777506713,-2289.578611129124,1249.0744694062923,630.4103512786311,1175.8407567605168
