SampleId,ActualClass,Year,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
9,G3,1394,308 nm,-22.81660110969245,9.025290104070727,18.259456376672624,14.561197465555416,-3.8589658971185137,1.431806736374813,5.792005746946056,6.036909425370423,-11.611990438435331,-2.457227938753555
10,G3,1394,308 nm,-12.527428949921786,22.0411833601332,8.328226695756051,2.5097600943432297,-7.946221656370177,4.759031215128029,-1.9733521944417067,0.8380371818456426,1.9082171990380075,6.440767281720906
13,G4,1394,308 nm,3.327983206619019,18.53107002701734,-10.536527915036302,-2.7037689183875573,-3.0986059503436114,2.6922087651515656,-14.19070327911325,9.81097986206467,3.318888997401674,-1.1963866912515506
20,G5,1394,308 nm,2.1489301197231905,9.948151364102499,16.218600491314373,16.04465014762797,19.332183068856896,-2.9392254273821616,-6.931089118334698,-8.623318444932258,7.476225435239746,-1.0979718505168552
24,G6,1394,308 nm,-26.63066078823619,-0.7965766449168515,0.5797337473110276,-16.308375739076034,-13.202854128913414,-7.5232036392723005,-10.67623190573012,-11.325486043072196,-4.029119047025875,-1.8897995178203928
26,G6,1394,308 nm,-4.979819697237761,-12.678505366626734,-27.297749621093686,26.319084579116183,-9.108985717517363,-0.10361121696406776,1.3045956667802427,-5.068613197462914,-0.238387100983589,0.44911151906219576
27,G6,1394,308 nm,-26.467872904312674,-22.93188608289064,-6.0964396980465585,-9.117313100485724,18.12952977259559,18.141855588736032,-1.427965003349636,-0.13100991531558803,-2.358641599256921,0.8237117177183162
28,G6,1394,308 nm,-30.954004124384717,-18.70537303370775,0.37337467766510857,-4.095212911917295,4.083199230760472,-17.196952515351235,6.959686271027271,7.965625700400111,7.402593244749265,0.9736436685642262
34,G7,1394,308 nm,12.406409574248816,15.287127618119673,-6.220423742835438,-7.62893060499876,5.8657282254548795,-1.195693710433997,10.77801087911926,-4.740016606726442,-0.8185056970339932,-5.566362802693425
36,G7,1394,308 nm,21.34544140906224,2.0619643944777066,-2.09705080965604,-6.550366884418799,6.339450668912771,-5.8737555993612345,5.682936242737975,-4.022734275038028,-6.246399749871718,4.583627547188957
37,G8,1394,308 nm,24.788622472713193,-5.559143664458765,0.7392707528682788,-2.991294481378562,1.559289535753713,-3.012196992602491,-0.7746437622140205,0.2789935985213056,-3.1258047913377114,5.795335402664881
39,G9,1394,308 nm,22.58058508329708,-22.100335559347272,11.571408406800863,-0.6089855184565942,-10.214321612930588,4.2105810468768,-0.3851020185574929,1.0319510768545037,2.8176633347077717,-1.9068990364167826
40,G9,1394,308 nm,22.580585083309906,-22.100335559352796,11.571408406813426,-0.6089855184871809,-10.214321612929963,4.210581046869992,-0.38510201854119025,1.031951076851843,2.817663334707026,-1.906899036420023
3,G1,1404,308 nm,21.47350073542079,-2.2027620534495957,-13.029687103940553,2.529536299669564,-1.090440437341315,3.8404501143150127,-1.4014600574498415,1.706209568058978,-0.2603754961659633,0.4407064413024423
5,G2,1404,308 nm,2.422401159311501,11.460733301216644,-0.05196404089129651,-4.381176045746624,-0.17831376252685008,3.3496301315960326,0.6821974760265808,-3.05813000447771,0.13433670577740925,2.0917313296404774
6,G2,1404,308 nm,-16.42823779215238,8.378683350593189,-3.9513011711088324,1.8145983599579403,-7.9775464454359,0.33804765482275684,0.8409314949498619,-2.388745046784088,0.10203042884627228,-2.3244489461844138
7,G2,1404,308 nm,-0.4311834574639154,6.3646172075254315,9.531406162379593,-3.0560095986362015,3.6227261553069794,-2.1193269375567807,2.522879259326227,6.358404581242683,2.4999677853301034,-1.5037380454185478
8,G2,1404,308 nm,-9.22357687475518,-4.625315044321335,13.658598885050075,3.5294612219513484,-7.4230794246427285,0.9175015125488568,-0.3238068366497239,-1.6774991516832307,3.111511602404494,-1.842423251089767
11,G3,1404,308 nm,11.737668955418991,6.521093941232809,0.7585960209074604,-4.534421108067785,2.1476371106253573,-0.46496970894374623,2.795571403255711,-2.821089823930366,-0.6697292516419084,-1.4932098990264697
12,G3,1404,308 nm,-24.724664655034577,1.4355386808731057,-17.298506329327818,8.99627684560573,7.786919001239947,-6.373424447487474,0.8005986033237198,-2.289354313427262,2.8466222288626972,0.8313595825541693
14,G4,1404,308 nm,22.66239067750195,-12.127617963588717,-3.057158436851235,6.404937663917903,-0.12348261089541128,-0.029098763075929537,-2.654991498831029,1.6760101049110854,0.0018144860695024265,-0.08409408114328609
