Scenario,Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,PredictionCount,CorrectRate,Stability,MeanDecisionMargin,MedianDecisionMargin,MajorityPredictionCorrect,RobustnessStatus
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,14,G4,G4,20,0.95,0.95,0.2355489913571273,0.1955925279722514,True,STABLE CORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,15,G4,G4,20,0.95,0.95,0.35094459655510063,0.3343159044533581,True,STABLE CORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,16,G4,G4,20,1.0,1.0,0.4543579632894762,0.3680410178462663,True,STABLE CORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,17,G4,G6,20,0.4,0.55,0.16979102882771344,0.1715704988754309,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,18,G4,G4,20,0.4,0.4,0.19426287453014424,0.1044259073940584,True,MOSTLY CORRECT / MIXED
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,19,G4,G6,20,0.35,0.45,0.1057983300974527,0.09171651671583758,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,20,G5,G3,20,0.0,0.45,0.26301967695936346,0.22544013018773187,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,21,G5,G4,20,0.0,0.7,0.2612053152123342,0.2339710670944384,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,22,G5,G4,20,0.0,0.6,0.14125989265342145,0.11797548071854135,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,23,G5,G2,20,0.0,0.65,0.10941808078912207,0.0936767339423979,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,24,G6,G6,20,0.7,0.7,0.22400236920734057,0.2323233621283145,True,MOSTLY CORRECT / MIXED
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,26,G6,G4,20,0.0,0.8,1.0855186884046788,0.880589364758376,False,STABLE INCORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,27,G6,G6,20,0.55,0.55,1.341292175585152,1.4062349089797168,True,MOSTLY CORRECT / MIXED
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,28,G6,G6,20,0.65,0.65,0.2859122414998124,0.27151145732330406,True,MOSTLY CORRECT / MIXED
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,30,G6,G6,20,0.75,0.75,0.19536411933460088,0.1706287650359462,True,STABLE CORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,31,G6,G4,20,0.05,0.85,0.17424726548406794,0.17585784059540124,False,STABLE INCORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,32,G6,G6,20,0.5,0.5,0.09479857804766614,0.09430215580077606,True,MOSTLY CORRECT / MIXED
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,33,G6,G6,20,0.6,0.6,0.11449695049413784,0.0784090178401179,True,MOSTLY CORRECT / MIXED
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,34,G7,G9,20,0.0,0.55,0.01861710460223221,0.01500634575782861,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,36,G7,G9,20,0.0,0.75,0.06317576808184946,0.059080649466995344,False,STABLE INCORRECT
