Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,CorrectRate,MeanDecisionMargin,PredictionCount
AsLS + SNV,asls_snv,Combined,6,G2,G2,0.5,0.14717680677340034,20
AsLS + SNV,asls_snv,Combined,7,G2,G2,0.5,0.12007135138807015,20
AsLS + SNV,asls_snv,Combined,8,G2,G6,0.25,0.24781028517074183,20
AsLS + SNV,asls_snv,Combined,9,G3,G6,0.25,0.3253700192435012,20
AsLS + SNV,asls_snv,Combined,10,G3,G5,0.15,0.16804835642254837,20
AsLS + SNV,asls_snv,Combined,11,G3,G4,0.0,0.2203005224998118,20
AsLS + SNV,asls_snv,Combined,12,G3,G6,0.0,0.20284485719978904,20
AsLS + SNV,asls_snv,Combined,13,G4,G3,0.2,0.1734061233547139,20
AsLS + SNV,asls_snv,Combined,14,G4,G4,0.7,0.10877042391296624,20
AsLS + SNV,asls_snv,Combined,15,G4,G4,1.0,0.5003055051310745,20
AsLS + SNV,asls_snv,Combined,16,G4,G4,1.0,0.3166864116179508,20
AsLS + SNV,asls_snv,Combined,17,G4,G4,1.0,0.20902343610079285,20
AsLS + SNV,asls_snv,Combined,18,G4,G4,0.7,0.315945942809046,20
AsLS + SNV,asls_snv,Combined,19,G4,G4,1.0,0.19016787406480773,20
AsLS + SNV,asls_snv,Combined,20,G5,G3,0.0,0.38876847526150443,20
AsLS + SNV,asls_snv,Combined,21,G5,G4,0.0,0.15489981479066778,20
AsLS + SNV,asls_snv,Combined,22,G5,G4,0.25,0.10572140993549506,20
AsLS + SNV,asls_snv,Combined,23,G5,G6,0.0,0.11293824071964095,20
AsLS + SNV,asls_snv,Combined,24,G6,G6,0.9,0.17336424942419226,20
AsLS + SNV,asls_snv,Combined,26,G6,G4,0.4,0.2460907253552551,20
AsLS + SNV,asls_snv,Combined,27,G6,G6,0.55,0.24682605427649693,20
AsLS + SNV,asls_snv,Combined,28,G6,G6,0.7,0.18929808676647938,20
AsLS + SNV,asls_snv,Combined,30,G6,G2,0.4,0.1582086059328165,20
AsLS + SNV,asls_snv,Combined,31,G6,G4,0.0,0.17577420045403752,20
AsLS + SNV,asls_snv,Combined,32,G6,G2,0.35,0.15105801416033787,20
AsLS + SNV,asls_snv,Combined,33,G6,G6,0.6,0.12315949415272757,20
AsLS + SNV,asls_snv,Combined,34,G7,G9,0.25,0.090036331434493,20
AsLS + SNV,asls_snv,Combined,36,G7,G9,0.1,0.16734493014446067,20
