Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ConfusionRate,UniqueSamplesAffected
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,G6,14,0.0175,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G4,13,0.01625,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G6,13,0.01625,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G3,9,0.01125,3
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G5,9,0.01125,3
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G2,9,0.01125,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G9,8,0.01,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G5,8,0.01,3
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G1,8,0.01,3
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G6,7,0.00875,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G2,7,0.00875,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G6,6,0.0075,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G1,6,0.0075,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G4,6,0.0075,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G1,6,0.0075,3
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G4,6,0.0075,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G6,5,0.00625,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G4,5,0.00625,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G5,5,0.00625,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G9,5,0.00625,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G2,5,0.00625,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G3,5,0.00625,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G8,5,0.00625,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G9,5,0.00625,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G3,5,0.00625,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G3,4,0.005,2
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G1,4,0.005,1
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G5,3,0.00375,1
