ppm,PC1_loading
6.09396,-0.02487568734707963
6.09496,-0.02485500535407864
6.09596,-0.024881925270759955
6.09696,-0.024852143207250696
6.09796,-0.024816809424202987
6.09896,-0.02480832862068758
6.09996,-0.024829003260623372
6.10096,-0.02480474689720433
6.10196,-0.024822845220711633
6.10296,-0.024801396820893308
6.10396,-0.02479447321437617
6.10496,-0.024812912244418214
6.10596,-0.024819908989739813
6.10696,-0.024792090913301375
6.10796,-0.024795308065363994
6.10896,-0.02479835618555861
6.10996,-0.02479093270092471
6.11096,-0.02480477840353987
6.11196,-0.024723412997728504
6.11296,-0.024651961005075187
6.11396,-0.024647903896005616
6.11496,-0.024662948834315527
6.11596,-0.024649085896239823
6.11696,-0.024617906166437605
6.11796,-0.02455340581419974
6.11896,-0.024510549099668065
6.11996,-0.024448215241147084
6.12096,-0.024405801590837814
6.12196,-0.024306662304370227
6.12296,-0.024159219068646952
6.12396,-0.024056625931456715
6.12496,-0.023860508742459957
6.12596,-0.02360684399386142
6.12696,-0.023303019782741432
6.12796,-0.02291216636101284
6.12896,-0.02254943192604916
6.12996,-0.02203522077361897
6.13096,-0.02141203836919442
6.13196,-0.020717173682769117
6.13296,-0.019900686279653516
6.13396,-0.019104588444263257
6.13496,-0.01822805971913723
6.13596,-0.01741655534727548
6.13696,-0.016884093561695884
6.13796,-0.016521818004990276
6.13896,-0.01633098392429088
6.13996,-0.016507976526242245
6.14096,-0.01680520552598348
6.14196,-0.017198818057412125
6.14296,-0.017764408432759553
6.14396,-0.018376135327325186
6.14496,-0.01899320465715041
6.14596,-0.019628175788699496
6.14696,-0.020343054946903263
6.14796,-0.02090920353749048
6.14896,-0.021375872111858773
6.14996,-0.02172467224630258
6.15096,-0.02207581662506428
6.15196,-0.022347151960246708
6.15296,-0.02251827329862364
6.15396,-0.022629541473333903
6.15496,-0.022752894943943
6.15596,-0.02273477188293486
6.15696,-0.022615847335686865
6.15796,-0.022425602487970677
6.15896,-0.022188369409977503
6.15996,-0.021906199319730098
6.16096,-0.021578122261873854
6.16196,-0.021161203742867146
6.16296,-0.02067426944276033
6.16396,-0.02011979225224796
6.16496,-0.01950650123286289
6.16596,-0.01895167272003773
6.16696,-0.018420593640765863
6.16796,-0.018035658217177068
6.16896,-0.0178239751367959
6.16996,-0.017720514607651075
6.17096,-0.017836494646976217
6.17196,-0.01816046645604552
6.17296,-0.01858889026554147
6.17396,-0.019090507398740228
6.17496,-0.01967372172088482
6.17596,-0.020329419643332153
6.17696,-0.02090039345567231
6.17796,-0.021468590450940253
6.17896,-0.021935296574739103
6.17996,-0.022374442289352172
6.18096,-0.02280929643939087
6.18196,-0.023120558424416567
6.18296,-0.023378010427119324
6.18396,-0.023615626959879413
6.18496,-0.02376691418968851
6.18596,-0.02391192073624838
6.18696,-0.024043602449992502
6.18796,-0.024123960291630515
6.18896,-0.024189150208759082
6.18996,-0.024249001741161645
6.19096,-0.02429754265435181
6.19196,-0.024301484845899012
6.19296,-0.024310089376671597
6.19396,-0.024346896694700956
6.19496,-0.024369413764660307
6.19596,-0.02438054533396363
6.19696,-0.02438244128382922
6.19796,-0.024389429702800794
6.19896,-0.02438762231797816
6.19996,-0.024384105813240495
6.20096,-0.02438817181711934
6.20196,-0.024374974942958882
6.20296,-0.02437743984285234
6.20396,-0.02441613307661521
