Model,TopK,Fold,Accuracy,BalancedAccuracy,F1Macro
RandomForest,20,19,0.18181818181818182,0.1318181818181818,0.16414141414141412
RandomForest,20,20,0.09523809523809523,0.13636363636363635,0.05627705627705628
RandomForest,30,1,0.09090909090909091,0.10909090909090909,0.061983471074380174
RandomForest,30,2,0.0,0.0,0.0
RandomForest,30,3,0.045454545454545456,0.045454545454545456,0.03636363636363637
RandomForest,30,4,0.0,0.0,0.0
RandomForest,30,5,0.13636363636363635,0.13636363636363635,0.05325987144168962
RandomForest,30,6,0.09523809523809523,0.1212121212121212,0.08181818181818182
RandomForest,30,7,0.09090909090909091,0.03636363636363637,0.03636363636363637
RandomForest,30,8,0.14285714285714285,0.12727272727272726,0.0606060606060606
RandomForest,30,9,0.045454545454545456,0.045454545454545456,0.0606060606060606
RandomForest,30,10,0.09523809523809523,0.06363636363636363,0.06363636363636363
RandomForest,30,11,0.045454545454545456,0.022727272727272728,0.0202020202020202
RandomForest,30,12,0.19047619047619047,0.13636363636363635,0.09949494949494951
RandomForest,30,13,0.09090909090909091,0.13636363636363635,0.10606060606060605
RandomForest,30,14,0.14285714285714285,0.15454545454545454,0.0787878787878788
RandomForest,30,15,0.045454545454545456,0.022727272727272728,0.025974025974025972
RandomForest,30,16,0.14285714285714285,0.06666666666666667,0.08181818181818182
RandomForest,30,17,0.18181818181818182,0.15454545454545454,0.10202020202020202
RandomForest,30,18,0.047619047619047616,0.0303030303030303,0.0202020202020202
RandomForest,30,19,0.13636363636363635,0.1590909090909091,0.09848484848484848
RandomForest,30,20,0.09523809523809523,0.13636363636363635,0.0606060606060606
RandomForest,50,1,0.09090909090909091,0.04090909090909091,0.04292929292929293
RandomForest,50,2,0.0,0.0,0.0
RandomForest,50,3,0.13636363636363635,0.1590909090909091,0.14285714285714285
RandomForest,50,4,0.047619047619047616,0.0303030303030303,0.0303030303030303
RandomForest,50,5,0.09090909090909091,0.09090909090909091,0.03673094582185491
RandomForest,50,6,0.0,0.0,0.0
RandomForest,50,7,0.13636363636363635,0.1590909090909091,0.11688311688311687
RandomForest,50,8,0.3333333333333333,0.3242424242424242,0.19689754689754688
RandomForest,50,9,0.045454545454545456,0.045454545454545456,0.0606060606060606
RandomForest,50,10,0.14285714285714285,0.10909090909090909,0.08484848484848485
RandomForest,50,11,0.045454545454545456,0.022727272727272728,0.025974025974025972
RandomForest,50,12,0.19047619047619047,0.1515151515151515,0.08181818181818182
RandomForest,50,13,0.13636363636363635,0.1590909090909091,0.12878787878787878
