ppm,global_mean,global_std
6.00196,23.323999888888896,88.3956486118365
6.00296,23.050180929629633,88.42909847538755
6.00396,22.838652375222225,88.39356543996959
6.00496,22.667412925925927,88.16355185468116
6.00596,22.395443500000003,88.06773392864255
6.00696,22.200045666666668,87.96505061639346
6.00796,22.02920337037037,87.76794529373794
6.00896,21.801218666666664,87.47717636993877
6.00996,21.544880000000003,87.16993671541107
6.01096,21.296767111111112,86.74879314494052
6.01196,21.139691185185185,86.27123931795175
6.01296,21.006861000000004,85.77044680152706
6.01396,20.823295592592597,85.03776262906425
6.01496,20.568971259259257,84.11068657203552
6.01596,20.341744666666667,83.162304917976
6.01696,20.040267666666665,82.02059305671652
6.01796,19.645940518518522,80.86032534707606
6.01896,19.347550203703708,79.59137141004645
6.01996,19.063586888888885,78.08654787858333
6.02096,18.741926925925927,76.61504382721616
6.02196,18.49856048148148,75.1642479698199
6.02296,18.179739851851853,73.46622737268666
6.02396,17.74893437037037,71.648842052648
6.02496,17.307163851851854,69.84480154069644
6.02596,17.032592777777776,68.28236009984984
6.02696,16.727307814814814,66.4586746683991
6.02796,16.462919888888887,64.6541492523487
6.02896,16.147117599999998,63.04112967507229
6.02996,15.779492344444442,61.47130518972195
6.03096,15.438062503703701,59.860109737148875
6.03196,15.138732881481483,58.38447310643731
6.03296,14.81988603,56.89737516066887
6.03396,14.616524807407405,55.48487158098341
6.03496,14.45267794814815,54.252887162582184
6.03596,14.211363625925927,53.0465956816334
6.03696,13.80037062962963,51.81389076271495
6.03796,13.661256085185183,50.793187023776824
6.03896,13.534525999999998,49.73160771494708
6.03996,13.322744437037036,48.47679735650485
6.04096,13.19462532962963,47.4968902816331
6.04196,12.982553666666664,46.59210192713251
6.04296,12.829815811111112,45.96171087394394
6.04396,12.70383333703704,45.2644281158578
6.04496,12.599258722222224,44.52383572271456
6.04596,12.52968637777778,43.910479116345826
6.04696,12.474332637037039,43.40314174627349
6.04796,12.410962555555555,42.92445631930091
6.04896,12.32465214814815,42.48766788878871
6.04996,12.222081866666667,42.14719377294147
6.05096,12.176053851111112,41.83830537767267
6.05196,12.09226651851852,41.5393493257897
6.05296,12.099257399999999,41.34092446584532
6.05396,12.038863018518521,41.13115061683519
6.05496,11.98115712962963,40.96081567452423
6.05596,11.976503855555555,40.881852146282576
6.05696,11.982216135555559,40.773567013755894
6.05796,11.95118299259259,40.66862065326179
6.05896,11.952699418518518,40.687773382863895
6.05996,11.987620314814816,40.69650489328662
6.06096,12.02229149444444,40.6626727706188
6.06196,12.08937621111111,40.79182120230948
6.06296,12.099680851851852,40.82995294185727
6.06396,12.052525699999999,40.877665425505626
6.06496,12.10040941851852,40.97872139813957
6.06596,12.124274925925928,41.05604151652943
6.06696,12.171845259259259,41.22455913836686
6.06796,12.275904037037037,41.39612676057549
6.06896,12.322817518518518,41.51513978690461
6.06996,12.372628862962962,41.638031232126636
6.07096,12.371566877777779,41.7566362890947
6.07196,12.459249814814815,41.854331851453516
6.07296,12.488663703703706,41.881902632813464
6.07396,12.40761862962963,42.02567297357558
6.07496,12.437193777777779,42.24155410642388
6.07596,12.500907407407409,42.41689153883092
6.07696,12.5391062,42.533279413836816
6.07796,12.54183151851852,42.62343876094278
6.07896,12.568491507407408,42.67905736365105
6.07996,12.54662914814815,42.704365581882286
6.08096,12.563627333333333,42.775661100723795
6.08196,12.449285592592593,42.80741207002551
6.08296,12.437027,42.77336282703288
6.08396,12.51130314814815,42.789721051586554
6.08496,12.467667592592592,42.733037140714934
6.08596,12.440929370370371,42.55538073245147
6.08696,12.445090814814815,42.49110803577036
6.08796,12.414939555555554,42.39926662900968
6.08896,12.451639285185186,42.157523533596176
6.08996,12.38495577777778,41.74685202337053
6.09096,12.328429185185186,41.46868308656767
6.09196,12.318458111111113,41.1990981067482
6.09296,12.211322037037034,40.75056944721675
6.09396,12.136330925925927,40.41061945170829
6.09496,12.072918185185186,40.03601264142531
6.09596,11.965679933333334,39.59457094542554
6.09696,11.848760985185185,39.18044583066703
6.09796,11.76729545925926,38.79866361377256
6.09896,11.612288244444445,38.34497728408404
6.09996,11.507068766666668,37.84675219730461
6.10096,11.464870944444444,37.413943917394995
6.10196,11.36233946666667,37.04135064197162
6.10296,11.249850629629627,36.509600097930694
